#,player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,dnk,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
9,Hans Vanwijn,,17,0,0,0,0,2,1,3,0,0,1,2,1,0,1,0,-2,2,0,2,0,2,0,0,Hapoel Haifa,H,14,4,Amit Schaerf
11,C.J. Harris,*,34,18,67,60,83,4,0,4,2,3,2,0,7,0,0,1,28,-1,2,3,3,5,5,6,Hapoel Haifa,H,14,4,Amit Schaerf
12,Shahar Amir,,21,6,0,67,0,0,0,0,3,2,1,1,0,0,0,0,4,15,0,0,2,3,0,0,Hapoel Haifa,H,14,4,Amit Schaerf
16,Yotam Hanochi,*,27,15,75,50,0,5,1,6,3,2,0,0,4,1,0,0,22,13,6,8,1,2,0,0,Hapoel Haifa,H,14,4,Amit Schaerf
21,Netanel Artzi,*,29,6,0,33,75,4,1,5,4,4,1,0,0,1,0,0,5,7,0,5,1,3,3,4,Hapoel Haifa,H,14,4,Amit Schaerf
22,Drew Crawford,,26,17,100,43,0,4,5,9,1,0,1,2,2,0,0,1,22,17,4,4,3,7,0,0,Hapoel Haifa,H,14,4,Amit Schaerf
,Total,,200,86,56,38,71,28,12,40,19,20,6,14,25,4,2,2,107,0,19,34,11,29,15,21,Hapoel Haifa,H,14,4,Amit Schaerf
,Team,,0,0,0,0,0,1,2,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Bnei Herzeliya,H,16,7,Amit Schaerf
2,Deondre Burns,*,23,7,43,0,50,3,1,4,2,3,1,0,5,0,2,0,11,2,3,7,0,0,1,2,Bnei Herzeliya,H,16,7,Amit Schaerf
3,Justin Smith,*,28,28,81,0,33,8,4,12,4,3,1,1,2,0,1,6,33,-10,13,16,0,0,2,6,Bnei Herzeliya,H,16,7,Amit Schaerf
8,Shawn Dawson,,27,11,40,100,50,0,0,0,3,4,0,1,2,1,0,0,10,-3,2,5,2,2,1,2,Bnei Herzeliya,H,16,7,Amit Schaerf
9,Hans Vanwijn,,20,5,33,50,0,2,1,3,3,1,0,0,6,0,0,0,9,-5,1,3,1,2,0,0,Bnei Herzeliya,H,16,7,Amit Schaerf
11,C.J. Harris,*,32,8,12,14,100,1,0,1,2,2,2,1,4,0,1,0,0,-3,1,8,1,7,3,3,Bnei Herzeliya,H,16,7,Amit Schaerf
12,Shahar Amir,,7,0,0,0,0,0,1,1,2,0,1,0,0,0,1,0,-2,-8,0,0,0,1,0,0,Bnei Herzeliya,H,16,7,Amit Schaerf
16,Yotam Hanochi,*,20,7,67,33,0,1,0,1,1,1,0,1,1,0,0,0,4,-6,2,3,1,3,0,1,Bnei Herzeliya,H,16,7,Amit Schaerf
21,Netanel Artzi,*,27,16,50,43,100,5,3,8,4,1,4,1,1,0,0,1,18,1,3,6,3,7,1,1,Bnei Herzeliya,H,16,7,Amit Schaerf
44,Niv Misgav,,16,5,0,50,100,0,0,0,3,1,0,3,5,0,0,0,4,7,0,0,1,2,2,2,Bnei Herzeliya,H,16,7,Amit Schaerf
,Total,,200,87,52,38,59,21,12,33,25,16,9,8,26,1,5,7,89,0,25,48,9,24,10,17,Bnei Herzeliya,H,16,7,Amit Schaerf
,Team,,0,0,0,0,0,6,2,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,Maccabi Ramat Gan,A,10,5,Amit Schaerf
2,Deondre Burns,,24,14,43,50,62,1,1,2,4,4,1,0,6,0,0,0,15,2,3,7,1,2,5,8,Maccabi Ramat Gan,A,10,5,Amit Schaerf
3,Justin Smith,*,25,9,38,0,100,4,2,6,2,3,1,4,1,2,0,2,11,-7,3,8,0,0,3,3,Maccabi Ramat Gan,A,10,5,Amit Schaerf
8,Shawn Dawson,*,31,15,57,40,33,2,1,3,3,4,1,3,0,0,1,0,8,-15,4,7,2,5,1,3,Maccabi Ramat Gan,A,10,5,Amit Schaerf
11,C.J. Harris,*,24,8,40,33,100,0,1,1,3,5,0,2,2,0,0,0,6,-11,2,5,1,3,1,1,Maccabi Ramat Gan,A,10,5,Amit Schaerf
12,Shahar Amir,,12,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,-1,-5,0,0,0,1,0,0,Maccabi Ramat Gan,A,10,5,Amit Schaerf
16,Yotam Hanochi,*,32,4,0,14,50,8,1,9,2,1,1,1,0,4,0,0,8,-15,0,1,1,7,1,2,Maccabi Ramat Gan,A,10,5,Amit Schaerf
21,Netanel Artzi,*,23,3,25,0,50,2,2,4,1,1,4,3,1,0,0,0,3,6,1,4,0,2,1,2,Maccabi Ramat Gan,A,10,5,Amit Schaerf
22,Drew Crawford,,28,12,60,20,60,3,0,3,3,4,0,0,4,0,0,0,12,-14,3,5,1,5,3,5,Maccabi Ramat Gan,A,10,5,Amit Schaerf
31,Roee Oselka,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,Maccabi Ramat Gan,A,10,5,Amit Schaerf
,Total,,200,65,43,24,63,26,11,37,19,22,8,14,15,6,1,2,70,0,16,37,6,25,15,24,Maccabi Ramat Gan,A,10,5,Amit Schaerf
,Team,,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Maccabi Tel-Aviv,H,11,9,Amit Schaerf
3,Justin Smith,*,24,18,56,0,100,2,2,4,4,4,2,1,0,0,0,0,19,-8,5,9,0,0,8,8,Maccabi Tel-Aviv,H,11,9,Amit Schaerf
8,Shawn Dawson,,21,2,50,0,0,4,1,5,2,1,0,3,4,0,0,0,3,-9,1,2,0,3,0,0,Maccabi Tel-Aviv,H,11,9,Amit Schaerf
9,Hans Vanwijn,,21,3,0,50,0,2,1,3,2,0,1,0,1,0,0,0,4,-10,0,1,1,2,0,0,Maccabi Tel-Aviv,H,11,9,Amit Schaerf
11,C.J. Harris,*,31,17,33,67,60,0,0,0,3,6,0,1,5,0,0,0,18,-14,1,3,4,6,3,5,Maccabi Tel-Aviv,H,11,9,Amit Schaerf
16,Yotam Hanochi,*,24,11,44,25,0,2,5,7,3,1,1,1,3,0,0,0,10,3,4,9,1,4,0,1,Maccabi Tel-Aviv,H,11,9,Amit Schaerf
21,Netanel Artzi,*,26,10,80,0,100,3,0,3,4,2,3,1,1,0,0,1,7,3,4,5,0,6,2,2,Maccabi Tel-Aviv,H,11,9,Amit Schaerf
22,Drew Crawford,*,26,12,0,50,0,3,1,4,2,3,1,0,2,0,1,0,14,4,0,1,4,8,0,0,Maccabi Tel-Aviv,H,11,9,Amit Schaerf
44,Niv Misgav,,27,11,50,100,75,2,0,2,3,3,0,2,7,0,0,0,16,21,1,2,2,2,3,4,Maccabi Tel-Aviv,H,11,9,Amit Schaerf
,Total,,200,84,50,39,80,19,13,32,23,20,8,9,23,0,1,1,95,0,16,32,12,31,16,20,Maccabi Tel-Aviv,H,11,9,Amit Schaerf
,Team,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Be'er Sheva,H,3,2,Amit Schaerf
3,Justin Smith,*,22,10,57,0,50,4,1,5,3,3,3,1,0,3,0,2,15,20,4,7,0,0,2,4,Be'er Sheva,H,3,2,Amit Schaerf
8,Shawn Dawson,*,29,9,40,25,100,4,1,5,5,2,1,3,7,0,0,1,10,18,2,5,1,4,2,2,Be'er Sheva,H,3,2,Amit Schaerf
9,Hans Vanwijn,*,23,13,80,25,67,6,4,10,4,3,2,1,3,0,0,1,21,12,4,5,1,4,2,3,Be'er Sheva,H,3,2,Amit Schaerf
10,Amit Sanker,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,Be'er Sheva,H,3,2,Amit Schaerf
11,C.J. Harris,,19,9,0,33,100,1,0,1,4,5,0,0,7,0,1,0,14,23,0,1,1,3,6,6,Be'er Sheva,H,3,2,Amit Schaerf
12,Shahar Amir,,17,7,100,33,100,1,0,1,3,1,1,0,0,0,0,0,5,-5,1,1,1,3,2,2,Be'er Sheva,H,3,2,Amit Schaerf
13,Nick Johnson,*,29,19,71,33,75,0,1,1,2,4,2,4,6,0,1,0,18,9,5,7,2,6,3,4,Be'er Sheva,H,3,2,Amit Schaerf
16,Yotam Hanochi,,27,11,75,25,100,6,2,8,1,1,1,2,2,0,1,0,15,3,3,4,1,4,2,2,Be'er Sheva,H,3,2,Amit Schaerf
21,Netanel Artzi,*,31,25,100,50,71,4,2,6,1,6,4,0,1,0,0,0,37,26,7,7,2,4,5,7,Be'er Sheva,H,3,2,Amit Schaerf
30,Ran Solomon,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,3,0,0,0,0,0,0,Be'er Sheva,H,3,2,Amit Schaerf
