#,player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,dnk,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc
50,Yovel Zoosman,,21,8,0,40,100,3,2,5,2,1,0,2,1,0,0,0,8,-5,0,0,2,5,2,2,Hapoel Tel-Aviv,A
80,Or Cornelius,*,24,5,33,25,0,3,1,4,1,1,1,1,0,0,0,0,4,-12,1,3,1,4,0,0,Hapoel Tel-Aviv,A
,Total,,200,100,54,44,75,20,15,35,24,15,3,11,21,2,3,4,97,0,20,37,16,36,12,16,Hapoel Tel-Aviv,A
,Team,,0,0,0,0,0,4,4,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,Be'er Sheva,H
4,Chris Johnson,,27,8,29,25,100,2,2,4,3,3,2,1,0,0,3,0,2,4,2,7,1,4,1,1,Be'er Sheva,H
11,Brynton Lemar,*,30,19,60,43,100,0,0,0,3,5,1,1,1,0,0,0,16,-2,3,5,3,7,4,4,Be'er Sheva,H
24,Oz Blayzer,*,16,5,50,50,0,4,1,5,2,0,1,2,0,0,0,0,5,5,1,2,1,2,0,0,Be'er Sheva,H
33,Gabriel Chachashvili,,18,8,33,0,67,1,1,2,3,5,1,2,0,1,1,0,5,6,2,6,0,0,4,6,Be'er Sheva,H
35,Zach Hankins,*,23,6,60,0,0,7,1,8,3,0,0,0,1,0,0,2,10,4,3,5,0,0,0,0,Be'er Sheva,H
44,Speedy Smith,*,33,12,50,22,0,8,0,8,1,4,3,3,13,0,0,0,26,10,3,6,2,9,0,0,Be'er Sheva,H
50,Yovel Zoosman,,24,10,50,100,75,3,1,4,3,3,0,1,0,1,1,0,10,1,2,4,1,1,3,4,Be'er Sheva,H
80,Or Cornelius,*,29,9,100,14,0,2,0,2,0,1,1,0,1,0,0,0,8,2,3,3,1,7,0,0,Be'er Sheva,H
,Total,,200,77,50,30,80,31,10,41,18,21,9,10,16,2,5,2,90,0,19,38,9,30,12,15,Be'er Sheva,H
,Team,,0,0,0,0,0,2,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Hapoel Haifa,H
4,Chris Johnson,,22,13,100,60,100,2,4,6,3,3,0,2,2,0,0,0,17,25,1,1,3,5,2,2,Hapoel Haifa,H
20,Levi Randolph,,22,15,38,50,86,4,0,4,3,5,0,1,2,0,0,0,15,8,3,8,1,2,6,7,Hapoel Haifa,H
23,Afek Amsalem,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Hapoel Haifa,H
24,Oz Blayzer,*,18,6,0,50,0,3,0,3,1,0,2,0,1,0,1,0,6,8,0,2,2,4,0,0,Hapoel Haifa,H
