#,player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,dnk,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc
3,Khadeen Carrington,,9,2,50,0,0,1,0,1,3,1,0,1,0,0,0,0,-2,-5,1,2,0,1,0,0,Maccabi Tel-Aviv,A
4,Chris Johnson,,26,9,80,0,33,2,1,3,3,3,1,1,0,0,0,0,4,2,4,5,0,5,1,3,Maccabi Tel-Aviv,A
15,Nimrod Levi,*,24,10,100,29,0,2,3,5,5,2,1,0,1,0,0,0,9,-6,2,2,2,7,0,0,Maccabi Tel-Aviv,A
20,Levi Randolph,*,35,18,62,17,83,2,1,3,2,4,0,1,3,0,0,0,16,-6,5,8,1,6,5,6,Maccabi Tel-Aviv,A
22,JaCorey Williams,,20,14,83,0,67,5,0,5,3,4,2,1,2,0,0,3,20,-12,5,6,0,0,4,6,Maccabi Tel-Aviv,A
23,Afek Amsalem,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,Maccabi Tel-Aviv,A
24,Oz Blayzer,*,23,8,100,40,0,3,2,5,2,4,1,0,1,0,0,0,14,5,1,1,2,5,0,0,Maccabi Tel-Aviv,A
44,Speedy Smith,*,35,15,0,62,0,2,1,3,2,2,2,5,9,0,1,0,18,-15,0,2,5,8,0,0,Maccabi Tel-Aviv,A
50,Yovel Zoosman,*,18,2,25,0,0,0,2,2,3,1,0,1,0,0,0,0,-3,-15,1,4,0,1,0,0,Maccabi Tel-Aviv,A
80,Or Cornelius,,8,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,-6,-7,0,2,0,0,0,0,Maccabi Tel-Aviv,A
,Total,,200,78,59,30,67,25,11,36,25,21,7,14,16,0,1,3,77,0,19,32,10,33,10,15,Maccabi Tel-Aviv,A
,Team,,0,0,0,0,0,1,2,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel Tel-Aviv,H
3,Khadeen Carrington,,22,8,67,25,50,1,0,1,3,4,1,0,3,0,0,0,9,-30,2,3,1,4,1,2,Hapoel Tel-Aviv,H
11,Brynton Lemar,*,31,10,50,0,100,1,0,1,4,3,0,1,1,0,1,0,1,-19,2,4,0,6,6,6,Hapoel Tel-Aviv,H
15,Nimrod Levi,,13,4,50,0,0,3,1,4,4,0,1,3,1,0,0,0,-1,-19,2,4,0,2,0,0,Hapoel Tel-Aviv,H
20,Levi Randolph,*,26,8,0,67,100,2,0,2,1,3,2,1,3,0,0,0,12,-12,0,3,2,3,2,2,Hapoel Tel-Aviv,H
22,JaCorey Williams,,15,6,75,0,0,1,1,2,2,3,0,1,1,1,0,1,9,-15,3,4,0,0,0,0,Hapoel Tel-Aviv,H
23,Afek Amsalem,,3,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,Hapoel Tel-Aviv,H
24,Oz Blayzer,*,24,8,100,17,50,1,0,1,2,1,1,0,1,0,0,0,4,-7,2,2,1,6,1,2,Hapoel Tel-Aviv,H
35,Zach Hankins,*,25,14,46,0,67,5,4,9,2,3,0,0,2,0,1,3,17,-12,6,13,0,0,2,3,Hapoel Tel-Aviv,H
50,Yovel Zoosman,,17,2,100,0,0,5,0,5,1,1,1,2,1,0,0,0,5,-6,1,1,0,2,0,0,Hapoel Tel-Aviv,H
80,Or Cornelius,*,24,4,50,0,0,2,2,4,1,0,0,1,2,2,1,0,3,-17,2,4,0,4,0,0,Hapoel Tel-Aviv,H
,Total,,200,64,53,15,80,22,11,33,20,18,6,11,15,4,3,4,62,0,20,38,4,27,12,15,Hapoel Tel-Aviv,H
,Team,,0,0,0,0,0,1,3,4,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,Bnei Herzeliya,A
3,Khadeen Carrington,,27,17,20,62,0,2,1,3,3,2,1,1,1,0,0,0,13,-1,1,5,5,8,0,0,Bnei Herzeliya,A
4,Chris Johnson,,25,10,71,0,0,0,1,1,3,2,1,1,1,0,1,0,6,6,5,7,0,2,0,0,Bnei Herzeliya,A
15,Nimrod Levi,,12,4,67,0,0,4,1,5,4,1,0,1,2,0,0,1,4,0,2,3,0,2,0,0,Bnei Herzeliya,A
20,Levi Randolph,*,28,25,75,50,57,3,0,3,3,5,0,1,3,0,0,0,24,11,6,8,3,6,4,7,Bnei Herzeliya,A
24,Oz Blayzer,*,17,3,0,33,0,1,0,1,1,2,1,0,0,0,0,0,4,5,0,0,1,3,0,0,Bnei Herzeliya,A
35,Zach Hankins,*,23,16,70,0,50,3,4,7,1,2,0,1,0,0,0,2,18,4,7,10,0,0,2,4,Bnei Herzeliya,A
44,Speedy Smith,*,27,5,0,25,100,2,0,2,3,2,1,0,5,0,1,0,5,-6,0,3,1,4,2,2,Bnei Herzeliya,A
50,Yovel Zoosman,,21,5,0,33,100,5,1,6,1,2,3,2,1,1,0,0,13,6,0,0,1,3,2,2,Bnei Herzeliya,A
80,Or Cornelius,*,20,0,0,0,0,0,0,0,4,1,0,1,1,0,1,0,-10,0,0,4,0,2,0,0,Bnei Herzeliya,A
,Total,,200,85,53,37,67,21,11,32,23,19,7,9,14,1,3,3,80,0,21,40,11,30,10,15,Bnei Herzeliya,A
,Team,,0,0,0,0,0,5,3,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,Hapoel Afula,H
3,Khadeen Carrington,,25,13,40,38,0,1,1,2,2,1,0,1,5,0,0,1,10,3,2,5,3,8,0,0,Hapoel Afula,H
4,Chris Johnson,,22,7,33,20,100,4,1,5,3,5,2,1,1,0,0,0,10,6,1,3,1,5,2,2,Hapoel Afula,H
15,Nimrod Levi,,16,5,50,33,0,3,2,5,4,0,1,2,1,1,0,0,4,6,1,2,1,3,0,0,Hapoel Afula,H
20,Levi Randolph,*,27,13,43,33,100,0,1,1,3,3,0,1,1,0,0,0,8,-2,3,7,1,3,4,4,Hapoel Afula,H
22,JaCorey Williams,*,28,16,64,0,40,8,1,9,2,5,0,1,1,0,1,1,20,7,7,11,0,0,2,5,Hapoel Afula,H
24,Oz Blayzer,*,9,3,0,33,0,1,0,1,2,0,0,0,0,0,0,0,0,-8,0,0,1,3,0,0,Hapoel Afula,H
44,Speedy Smith,*,30,11,33,60,0,1,0,1,1,1,0,2,10,0,0,0,16,3,1,3,3,5,0,0,Hapoel Afula,H
50,Yovel Zoosman,,22,11,50,67,75,3,1,4,2,3,3,0,2,1,0,1,19,2,1,2,2,3,3,4,Hapoel Afula,H
80,Or Cornelius,*,21,2,100,0,0,1,0,1,3,0,0,0,0,1,0,0,0,-2,1,1,0,1,0,0,Hapoel Afula,H
,Total,,200,81,50,39,73,27,10,37,22,18,6,8,21,3,1,3,95,0,17,34,12,31,11,15,Hapoel Afula,H
