player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Omer Hamama,,6,0,0,0,0,0,1,1,1,0,0,0,2,0,0,2,-9,0,0,0,0,0,0,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
Eyal Harel,,12,2,50,0,0,3,1,4,4,0,0,1,0,1,0,-1,0,1,2,0,2,0,0,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
Muriel Lutati,,26,7,29,33,0,3,0,3,3,1,3,1,4,0,0,7,-3,2,7,1,3,0,0,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
Eidan Alber,*,9,0,0,0,0,2,0,2,2,1,0,1,0,0,0,-2,-7,0,1,0,1,0,0,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
Noam Avivi,,25,7,100,33,0,4,1,5,2,0,0,0,0,0,0,8,-3,2,2,1,3,0,0,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
Gilad Levy,,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-3,0,0,0,0,0,0,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
J'Covan Brown,*,34,12,56,0,100,3,0,3,1,4,0,1,7,0,0,14,-12,5,9,0,6,2,2,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
Total,,200,68,52,27,60,27,7,34,20,16,6,16,19,5,1,71,0,22,42,6,22,6,10,Maccabi_Ramat_Gan,H,20,20,Ariel Bet Halahmi
Team,,0,0,0,0,0,1,0,1,1,0,0,2,0,0,0,-2,0,0,0,0,0,0,0,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
Sandy Cohen,*,29,8,80,0,0,7,0,7,3,0,0,0,1,0,0,10,1,4,5,0,2,0,0,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
Justyn Mutts,*,33,13,56,0,100,4,2,6,3,3,0,2,1,3,0,16,1,5,9,0,1,3,3,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
El Ellis,,29,16,57,20,71,0,0,0,3,4,0,4,1,0,0,5,3,4,7,1,5,5,7,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
JP Tokoto,*,28,14,56,0,67,4,4,8,5,3,2,1,3,0,1,17,2,5,9,0,0,4,6,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
Eyal Harel,,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1,-4,0,0,0,1,0,0,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
Muriel Lutati,*,13,12,100,100,100,3,0,3,1,2,1,2,1,0,0,16,-4,4,4,1,1,1,1,Be'er_Sheva_Dimona,H,25,25,Ariel Bet Halahmi
