player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Itay Segev,*,28,15,56,0,71,7,2,9,3,4,0,3,1,1,0,18,-22,5,9,0,0,5,7,Maccabi_Ramat_Gan,A,3,3,Amit Schaerf
Yair Kravitz,,27,12,50,33,50,2,0,2,4,4,0,2,6,0,0,10,-12,2,4,2,6,2,4,Maccabi_Ramat_Gan,A,3,3,Amit Schaerf
Total,,200,84,48,34,76,21,10,31,24,22,2,11,19,1,0,81,0,16,33,10,29,22,29,Maccabi_Ramat_Gan,A,3,3,Amit Schaerf
Team,,0,0,0,0,0,3,2,5,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Hapoel_Jerusalem,H,1,1,Amit Schaerf
Ricky Lindo,*,33,17,38,100,100,3,3,6,3,5,2,1,4,0,1,21,-7,5,13,1,1,4,4,Hapoel_Jerusalem,H,1,1,Amit Schaerf
Darnell Edge,*,31,16,62,25,100,1,0,1,2,3,1,3,7,0,0,17,8,5,8,1,4,3,3,Hapoel_Jerusalem,H,1,1,Amit Schaerf
Bryce Brown,*,33,17,57,25,75,1,0,1,0,5,0,3,1,0,0,11,-8,4,7,2,8,3,4,Hapoel_Jerusalem,H,1,1,Amit Schaerf
Jake Van Tubbergen,,21,0,0,0,0,4,1,5,5,1,0,1,2,0,1,-3,-7,0,4,0,0,0,0,Hapoel_Jerusalem,H,1,1,Amit Schaerf
Tomer Levinson,,10,3,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,Hapoel_Jerusalem,H,1,1,Amit Schaerf
Tzuf Ben Moshe,*,28,9,100,20,0,2,2,4,4,2,0,0,0,0,0,7,-6,3,3,1,5,0,0,Hapoel_Jerusalem,H,1,1,Amit Schaerf
Itay Segev,*,22,2,0,0,100,5,1,6,4,2,2,0,1,1,0,9,0,0,1,0,0,2,2,Hapoel_Jerusalem,H,1,1,Amit Schaerf
Yair Kravitz,,22,10,50,50,83,3,0,3,0,3,0,3,4,0,1,13,-15,1,2,1,2,5,6,Hapoel_Jerusalem,H,1,1,Amit Schaerf
Total,,200,74,45,32,89,22,9,31,19,21,5,11,19,1,3,79,0,18,40,7,22,17,19,Hapoel_Jerusalem,H,1,1,Amit Schaerf
Team,,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel_Tel-Aviv,H,10,10,Amit Schaerf
Ricky Lindo,*,31,12,71,0,100,7,1,8,2,2,0,2,0,0,0,10,-26,5,7,0,6,2,2,Hapoel_Tel-Aviv,H,10,10,Amit Schaerf
Darnell Edge,,26,4,33,0,0,0,1,1,0,1,1,1,1,0,0,0,-16,2,6,0,2,0,1,Hapoel_Tel-Aviv,H,10,10,Amit Schaerf
Bryce Brown,*,25,14,33,60,25,0,1,1,1,5,1,4,0,0,1,6,-24,2,6,3,5,1,4,Hapoel_Tel-Aviv,H,10,10,Amit Schaerf
Jake Van Tubbergen,,22,2,0,0,100,4,0,4,2,4,0,3,0,0,0,2,-20,0,3,0,0,2,2,Hapoel_Tel-Aviv,H,10,10,Amit Schaerf
Tomer Levinson,,11,0,0,0,0,2,1,3,1,1,0,0,1,0,0,1,-11,0,1,0,2,0,0,Hapoel_Tel-Aviv,H,10,10,Amit Schaerf
Alon Druker,,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,-7,-4,0,1,0,3,0,0,Hapoel_Tel-Aviv,H,10,10,Amit Schaerf
