player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Team,,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Gilboa_Galil,H,17,17,Jonathan Alon
Jared Harper,*,30,17,20,67,90,3,1,4,1,9,2,1,8,0,0,32,9,1,5,2,3,9,10,Gilboa_Galil,H,17,17,Jonathan Alon
Chris Johnson,*,27,14,57,40,0,6,1,7,2,1,2,0,2,0,0,18,7,4,7,2,5,0,0,Gilboa_Galil,H,17,17,Jonathan Alon
Austin Wiley,*,24,12,62,0,40,5,1,6,2,4,0,2,0,1,0,13,9,5,8,0,0,2,5,Gilboa_Galil,H,17,17,Jonathan Alon
Gabriel Chachashvili,,15,4,50,0,100,4,0,4,3,3,0,2,1,0,1,5,0,1,2,0,0,2,2,Gilboa_Galil,H,17,17,Jonathan Alon
Noam Dovrat,,17,5,33,50,0,0,1,1,2,1,1,1,1,0,0,3,8,1,3,1,2,0,0,Gilboa_Galil,H,17,17,Jonathan Alon
Jeremy Morgan,,21,4,0,25,50,3,0,3,1,2,1,0,1,0,0,5,13,0,1,1,4,1,2,Gilboa_Galil,H,17,17,Jonathan Alon
Tarik Phillip,*,20,10,75,33,100,0,2,2,2,2,0,1,3,0,0,11,-2,3,4,1,3,1,1,Gilboa_Galil,H,17,17,Jonathan Alon
Yovel Zoosman,*,33,13,33,38,100,2,0,2,3,1,0,2,5,1,0,10,3,1,3,3,8,2,2,Gilboa_Galil,H,17,17,Jonathan Alon
Egor Koulechov,,13,6,0,50,0,4,1,5,2,0,0,2,0,1,0,6,3,0,0,2,4,0,0,Gilboa_Galil,H,17,17,Jonathan Alon
Total,,200,85,48,41,77,28,9,37,18,23,6,11,21,3,1,106,0,16,33,12,29,17,22,Gilboa_Galil,H,17,17,Jonathan Alon
Team,,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,A,16,16,Jonathan Alon
Justin Smith,*,7,4,100,0,0,0,1,1,2,0,0,0,1,0,0,4,-3,2,2,0,0,0,0,Ironi_Kiryat_Ata,A,16,16,Jonathan Alon
Khadeen Carrington,*,28,18,38,40,86,1,2,3,2,8,1,4,2,0,1,16,-17,3,8,2,5,6,7,Ironi_Kiryat_Ata,A,16,16,Jonathan Alon
Chris Johnson,,21,9,0,75,0,2,3,5,2,1,0,1,1,2,0,14,-7,0,0,3,4,0,0,Ironi_Kiryat_Ata,A,16,16,Jonathan Alon
Austin Wiley,,24,11,33,0,71,4,4,8,1,5,2,2,1,2,0,18,-14,3,9,0,0,5,7,Ironi_Kiryat_Ata,A,16,16,Jonathan Alon
Gabriel Chachashvili,*,24,5,33,50,0,4,0,4,4,2,2,3,1,0,0,4,11,1,3,1,2,0,0,Ironi_Kiryat_Ata,A,16,16,Jonathan Alon
Jeremy Morgan,,27,13,75,40,50,1,3,4,3,2,1,0,2,0,1,13,-4,3,4,2,5,1,2,Ironi_Kiryat_Ata,A,16,16,Jonathan Alon
Tarik Phillip,*,31,12,100,33,0,4,0,4,3,2,1,6,9,0,0,15,6,3,3,2,6,0,0,Ironi_Kiryat_Ata,A,16,16,Jonathan Alon
Egor Koulechov,,13,3,0,25,0,0,0,0,1,0,0,0,1,0,0,0,-11,0,0,1,4,0,0,Ironi_Kiryat_Ata,A,16,16,Jonathan Alon
Or Cornelius,*,25,10,40,33,50,2,2,4,3,5,1,2,0,0,0,7,-8,2,5,1,3,3,6,Ironi_Kiryat_Ata,A,16,16,Jonathan Alon
Total,,200,85,50,41,68,19,18,37,21,25,8,18,18,4,2,95,0,17,34,12,29,15,22,Ironi_Kiryat_Ata,A,16,16,Jonathan Alon
Team,,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Hapoel_Haifa,H,20,20,Jonathan Alon
Justin Smith,,16,14,75,0,100,1,2,3,2,3,1,1,0,1,0,17,20,6,8,0,0,2,2,Hapoel_Haifa,H,20,20,Jonathan Alon
Jared Harper,*,20,18,100,75,100,4,0,4,1,5,0,1,9,0,0,33,26,2,2,3,4,5,5,Hapoel_Haifa,H,20,20,Jonathan Alon
Khadeen Carrington,,15,7,43,0,100,2,0,2,2,3,0,0,2,0,0,5,7,3,7,0,3,1,1,Hapoel_Haifa,H,20,20,Jonathan Alon
Chris Johnson,*,15,4,0,25,50,3,0,3,0,2,1,1,0,0,0,4,21,0,1,1,4,1,2,Hapoel_Haifa,H,20,20,Jonathan Alon
Austin Wiley,*,24,20,100,0,50,7,3,10,2,3,1,1,1,1,0,31,3,9,9,0,0,2,4,Hapoel_Haifa,H,20,20,Jonathan Alon
Noam Dovrat,,30,8,33,33,0,4,0,4,4,0,0,4,2,0,0,0,4,1,3,2,6,0,0,Hapoel_Haifa,H,20,20,Jonathan Alon
Nir Perri,,7,0,0,0,0,1,1,2,0,0,0,0,0,0,0,-1,-8,0,2,0,1,0,0,Hapoel_Haifa,H,20,20,Jonathan Alon
Yarin Hasson,,5,0,0,0,0,0,1,1,2,0,0,2,1,0,1,-4,-11,0,1,0,0,0,0,Hapoel_Haifa,H,20,20,Jonathan Alon
Jeremy Morgan,*,18,12,0,67,0,4,1,5,2,0,1,0,1,0,0,14,23,0,1,4,6,0,0,Hapoel_Haifa,H,20,20,Jonathan Alon
Yovel Zoosman,*,13,7,50,100,67,1,1,2,1,1,1,0,5,0,0,13,24,1,2,1,1,2,3,Hapoel_Haifa,H,20,20,Jonathan Alon
Egor Koulechov,,16,5,100,17,0,1,2,3,2,0,0,0,0,0,0,1,6,1,1,1,6,0,0,Hapoel_Haifa,H,20,20,Jonathan Alon
Or Cornelius,,21,11,100,25,0,2,1,3,0,0,0,0,0,1,0,12,0,4,4,1,4,0,0,Hapoel_Haifa,H,20,20,Jonathan Alon
Total,,200,106,66,37,76,30,15,45,18,17,5,10,21,3,1,128,0,27,41,13,35,13,17,Hapoel_Haifa,H,20,20,Jonathan Alon
Team,,0,0,0,0,0,2,2,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Justin Smith,*,27,10,100,0,0,6,1,7,3,3,2,1,0,0,0,17,-3,5,5,0,0,0,1,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Jared Harper,*,29,23,43,33,89,1,0,1,3,9,0,4,6,0,0,21,12,3,7,3,9,8,9,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Khadeen Carrington,*,28,17,40,29,100,2,1,3,1,3,1,0,4,0,0,16,6,4,10,2,7,3,3,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Chris Johnson,*,23,5,100,100,0,3,2,5,2,1,1,0,0,0,0,10,3,1,1,1,1,0,0,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Noam Dovrat,,9,5,0,33,67,0,0,0,1,1,1,0,0,0,0,3,-1,0,0,1,3,2,3,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Tarik Phillip,,19,8,50,50,0,3,0,3,0,0,0,1,1,0,0,8,2,1,2,2,4,0,0,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Derek Ogbeide,,13,2,100,0,0,1,1,2,3,2,1,0,1,0,0,4,11,1,1,0,0,0,1,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Yovel Zoosman,*,29,10,67,25,60,0,0,0,4,3,2,2,2,0,0,5,11,2,3,1,4,3,5,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Egor Koulechov,,13,2,100,0,0,2,1,3,2,0,1,0,1,1,0,2,-4,1,1,0,4,0,0,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Or Cornelius,,10,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,-2,0,0,0,0,0,0,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Total,,200,82,60,31,73,21,8,29,19,22,10,10,15,1,0,90,0,18,30,10,32,16,22,Maccabi_Ramat_Gan,A,19,19,Jonathan Alon
Team,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bnei_Herzliya,H,18,18,Jonathan Alon
Justin Smith,*,23,15,64,0,33,4,1,5,3,3,1,1,0,1,2,13,16,7,11,0,0,1,3,Bnei_Herzliya,H,18,18,Jonathan Alon
Jared Harper,*,26,15,57,50,50,1,1,2,2,3,3,3,8,0,0,20,17,4,7,2,4,1,2,Bnei_Herzliya,H,18,18,Jonathan Alon
Khadeen Carrington,,22,15,29,67,100,2,1,3,1,3,1,3,3,0,0,15,-7,2,7,2,3,5,5,Bnei_Herzliya,H,18,18,Jonathan Alon
Chris Johnson,*,23,5,50,0,50,2,3,5,2,2,4,0,0,1,0,11,11,2,4,0,1,1,2,Bnei_Herzliya,H,18,18,Jonathan Alon
Gabriel Chachashvili,,8,2,50,0,0,1,0,1,1,1,0,0,0,0,0,2,-1,1,2,0,0,0,0,Bnei_Herzliya,H,18,18,Jonathan Alon
Noam Dovrat,,6,3,0,100,0,0,0,0,2,0,0,0,1,0,0,2,-10,0,0,1,1,0,0,Bnei_Herzliya,H,18,18,Jonathan Alon
Jeremy Morgan,,19,7,50,50,0,1,2,3,1,0,1,3,0,0,0,4,1,2,4,1,2,0,0,Bnei_Herzliya,H,18,18,Jonathan Alon
Tarik Phillip,*,21,16,100,100,0,1,0,1,2,3,1,0,2,0,0,19,25,5,5,2,2,0,2,Bnei_Herzliya,H,18,18,Jonathan Alon
Yovel Zoosman,*,25,10,33,50,50,3,1,4,4,2,1,1,0,0,1,5,12,1,3,2,4,2,4,Bnei_Herzliya,H,18,18,Jonathan Alon
Egor Koulechov,,18,6,0,40,0,5,0,5,1,0,1,0,1,2,0,9,5,0,2,2,5,0,0,Bnei_Herzliya,H,18,18,Jonathan Alon
Or Cornelius,,9,0,0,0,0,3,0,3,0,0,0,0,2,0,1,3,6,0,1,0,0,0,0,Bnei_Herzliya,H,18,18,Jonathan Alon
Total,,200,94,52,55,56,24,9,33,19,17,13,11,17,4,4,104,0,24,46,12,22,10,18,Bnei_Herzliya,H,18,18,Jonathan Alon
Team,,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Hapoel_Afula,A,21,21,Jonathan Alon
Justin Smith,,21,7,33,0,25,5,3,8,1,4,0,0,0,0,1,8,-3,3,9,0,0,1,4,Hapoel_Afula,A,21,21,Jonathan Alon
Jared Harper,*,31,13,29,33,75,2,0,2,3,4,1,3,6,1,0,11,1,2,7,2,6,3,4,Hapoel_Afula,A,21,21,Jonathan Alon
