player name,sf,min,pts,%_2pt,%_3pt,%_1pt,dr_rebounds,or_rebounds,tr_rebounds,pf_fouls,fa_fouls,st,to,as,bkf_blocks,bka_blocks,val,+/-,m_2pt,a_2pt,m_3pt,a_3pt,m_1pt,a_1pt,opponent,loc,round,game_idx,coach
Lennard Freeman,*,25,6,17,0,80,4,3,7,0,4,0,1,0,0,1,9,-24,1,6,0,0,4,5,Elitzur_Netanya,A,19,20,Guni Israeli
Tomer Asayag,,25,5,100,20,0,0,0,0,1,0,0,1,3,0,0,2,-6,1,1,1,5,0,0,Elitzur_Netanya,A,19,20,Guni Israeli
Lior Carreira,*,29,8,17,40,0,7,3,10,3,3,0,0,3,0,0,13,-19,1,6,2,5,0,0,Elitzur_Netanya,A,19,20,Guni Israeli
Shahar Amir,,13,2,100,0,0,1,3,4,2,0,0,1,2,0,0,2,-10,1,1,0,3,0,0,Elitzur_Netanya,A,19,20,Guni Israeli
Marcus Carr,*,31,10,25,18,67,3,0,3,3,4,0,2,3,0,0,2,-32,1,4,2,11,2,3,Elitzur_Netanya,A,19,20,Guni Israeli
Yotam Hanochi,,21,10,50,20,75,4,0,4,2,3,0,1,2,1,1,9,-15,2,4,1,5,3,4,Elitzur_Netanya,A,19,20,Guni Israeli
Ron Cohen,,6,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-4,-10,0,1,0,1,0,0,Elitzur_Netanya,A,19,20,Guni Israeli
Lucas Goldenberg,*,22,3,50,0,50,4,0,4,1,3,0,3,3,0,0,6,-21,1,2,0,1,1,2,Elitzur_Netanya,A,19,20,Guni Israeli
Total,,200,56,38,18,63,27,13,40,13,21,1,12,17,2,2,54,0,13,34,6,34,12,19,Elitzur_Netanya,A,19,20,Guni Israeli
Team,,0,0,0,0,0,3,1,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Hapoel_Afula,A,15,15,Guni Israeli
Rawle Alkins,*,28,15,33,33,0,3,2,5,2,1,2,3,1,1,1,7,-17,3,9,3,9,0,0,Hapoel_Afula,A,15,15,Guni Israeli
Ben Altshuler,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,-5,0,1,0,0,0,0,Hapoel_Afula,A,15,15,Guni Israeli
Akia Pruitt,*,11,0,0,0,0,0,0,0,2,0,0,1,2,0,0,-2,-10,0,0,0,1,0,0,Hapoel_Afula,A,15,15,Guni Israeli
Yonathan Atias,,9,4,100,0,0,1,0,1,2,1,0,0,1,1,0,6,-10,2,2,0,0,0,0,Hapoel_Afula,A,15,15,Guni Israeli
Tomer Asayag,,24,3,0,20,0,1,0,1,3,1,1,3,6,0,0,-1,-8,0,3,1,5,0,0,Hapoel_Afula,A,15,15,Guni Israeli
Lior Carreira,*,37,14,62,17,50,3,1,4,2,3,1,2,3,0,0,12,-14,5,8,1,6,1,2,Hapoel_Afula,A,15,15,Guni Israeli
Shahar Amir,,20,7,100,17,67,1,0,1,5,4,1,2,3,1,0,4,-10,1,1,1,6,2,3,Hapoel_Afula,A,15,15,Guni Israeli
Marcus Carr,*,35,10,40,67,0,6,1,7,1,2,0,3,2,0,0,13,-12,2,5,2,3,0,0,Hapoel_Afula,A,15,15,Guni Israeli
Yhali Steinhauer,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-5,0,0,0,0,0,0,Hapoel_Afula,A,15,15,Guni Israeli
Lucas Goldenberg,*,34,12,0,50,100,5,2,7,3,7,3,2,1,2,1,23,-19,0,2,1,2,9,9,Hapoel_Afula,A,15,15,Guni Israeli
Total,,200,65,42,28,86,23,7,30,22,19,8,16,19,5,3,62,0,13,31,9,32,12,14,Hapoel_Afula,A,15,15,Guni Israeli
Team,,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,H,20,21,Guni Israeli
Rawle Alkins,*,29,19,71,50,0,6,1,7,1,0,0,0,5,1,0,26,22,5,7,3,6,0,0,Ironi_Kiryat_Ata,H,20,21,Guni Israeli
Ben Altshuler,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,H,20,21,Guni Israeli
Lennard Freeman,*,25,10,50,0,100,2,2,4,3,2,2,1,2,1,0,12,5,4,8,0,1,2,2,Ironi_Kiryat_Ata,H,20,21,Guni Israeli
Yonathan Atias,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ironi_Kiryat_Ata,H,20,21,Guni Israeli
Tomer Asayag,,26,9,20,67,50,4,0,4,2,3,0,1,5,0,0,12,8,1,5,2,3,1,2,Ironi_Kiryat_Ata,H,20,21,Guni Israeli
